trap_pair,summer_mean,spring_mean,summer_median,spring_median
T1AB,0.010191756061224466,0.018647170959183678,0.00924185999999999,0.009729515000000008
T1CD,-0.06611110328571423,-0.013869993326530612,-0.03633685400000003,-0.009832031999999994
T2AB,-0.045216633795918365,-0.0006109584346938804,-0.010479262000000045,-0.0001189163000000007
T3CD,0.10813062236734701,0.021886239795918364,0.12999181000000026,0.011234214999999999
T5AB,0.01710651326530609,-0.011733343530612249,0.009782063000000035,-0.0076798810000000065
T5CD,0.11494336100000001,-0.021565357408163253,0.10109310950000017,-0.021741353000000005
T6CD,0.1539112691632653,0.021021469408163268,0.11330989899999999,0.010292174999999997
T7AB,0.04371895373469385,0.017240850955102034,0.0008919929999999989,0.009581826399999995
T7CD,0.10873338312244905,0.016773381530612252,0.12511151900000017,0.011736649000000012
T8CD,0.1066166740612245,-0.0010565940653061157,0.10376391200000003,-0.0014508677999999983
